Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;150102;Envases de plástico;R13;Urbano;47700;KG
2008;B20675518;ESNELAT;2000007255;ESNELAT, S.L.;Urnieta;200101;Papel y cartón;R13;Urbano;308700;KG
2008;A20014064;FERALCO IBERIA;2000000308;FERALCO IBERIA - ALEGIA;Alegia;150101;Envases de papel y cartón;R13;Urbano;1040;KG
2008;A20014064;FERALCO IBERIA;2000000308;FERALCO IBERIA - ALEGIA;Alegia;080318;Residuos de tóner de impresión, distintos de los especificados en el código 08 03 17;R13;Urbano;1;KG
2008;A20014064;FERALCO IBERIA;2000019745;FERALCO IBERIA - LEABURU;Leaburu;150101;Envases de papel y cartón;R13;Urbano;100;KG
2008;A48299515;FUNDICION EN CASCARA;2000001968;FUNDICIÓN EN CÁSCARA;Ezkio-Itsaso;150101;Envases de papel y cartón;R13;Urbano;2880;KG
2008;A28059269;FUNDICIONES DEL ESTANDA;2000000298;FUNDICIONES DEL ESTANDA, S.A;Beasain;200399;Residuos municipales no especificados en otra categoría;R13;Urbano;2500;KG
2008;A20180741;GALVANIZADOS ARRATE;2000001594;GALVANIZADOS ARRATE;Soraluze-Placencia de las Armas;200301;Mezclas de residuos municipales;R13;Urbano;12000;KG
2008;A20060075;GALVANIZADOS OLAIZOLA;2000000299;GALVANIZADOS OLAIZOLA, S.A.;Zumaia;200301;Mezclas de residuos municipales;D2;Urbano;11000;KG
2008;A20060075;GALVANIZADOS OLAIZOLA;2000000299;GALVANIZADOS OLAIZOLA, S.A.;Zumaia;200101;Papel y cartón;R3;Urbano;24100;KG
2008;A20016382;GKN DRIVELINE ZUMAIA;2000001895;GKN DRIVELINE LEGAZPI S.A.;Legazpi;200138;Madera distinta de la especificada en el código 20 01 37;D15;Urbano;16340;KG
2008;A20016382;GKN DRIVELINE ZUMAIA;2000001895;GKN DRIVELINE LEGAZPI S.A.;Legazpi;200101;Papel y cartón;R5;Urbano;3300;KG
2008;B20074829;HIERROS EGUINO;2000004756;HIERROS EGUINO;Azkoitia;200301;Mezclas de residuos municipales;R13;Urbano;0;KG
2008;B20074829;HIERROS EGUINO;2000004756;HIERROS EGUINO;Azkoitia;191201;Papel y cartón;R13;Urbano;0;KG
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;170201;Madera;-//D1//-//-//-//-//-;Urbano;450;KG
2008;B20166344;INDUSTRIAS APERRIBAY;2000000440;INDUSTRIAS APERRIBAY, S. L.;Bergara;160306;Residuos orgánicos distintos de los especificados en el código 16 03 05;R13;Urbano;70;KG
2008;B20794749;INDUSTRIAS ARAMENDI;2000016741;INDUSTRIAS ARAMENDI, S. L.;Usurbil;200199;Otras fracciones no especificadas en otra categoría;R13;Urbano;15660;KG
2008;B20794749;INDUSTRIAS ARAMENDI;2000016741;INDUSTRIAS ARAMENDI, S. L.;Usurbil;200101;Papel y cartón;R13;Urbano;4860;KG
2008;A20082350;INDUSTRIAS FEGAR;2000011791;INDUSTRIAS FEGAR;Bergara;200301;Mezclas de residuos municipales;R13;Urbano;750;KG
2008;A20082350;INDUSTRIAS FEGAR;2000011791;INDUSTRIAS FEGAR;Bergara;200101;Papel y cartón;R13;Urbano;132;KG
2008;A28054674;INQUITEX;2000000272;INQUITEX;Andoain;200301;Mezclas de residuos municipales;-//D1//-//-//-//-//-;Urbano;6528;KG
2008;A20030128;JOSE MARIA UCIN;2000004454;JOSE MARÍA UCIN, S.A.;Usurbil;200138;Madera distinta de la especificada en el código 20 01 37;R13;Urbano;38500;KG
2008;A20030128;JOSE MARIA UCIN;2000004454;JOSE MARÍA UCIN, S.A.;Usurbil;200301;Mezclas de residuos municipales;R13;Urbano;20000;KG
2008;A20030128;JOSE MARIA UCIN;2000004454;JOSE MARÍA UCIN, S.A.;Usurbil;200101;Papel y cartón;R13;Urbano;14000;KG
2008;A20043311;S. IZAGUIRRE;2000004469;LAMINACION EN FRIO DE ACERO;Usurbil;200301;Mezclas de residuos municipales;D12;Urbano;3200;KG
2008;A20426409;LAMINADOS DE ARETXABALETA;2000000092;LAMINADOS DE ARETXABALETA, S.A.;Aretxabaleta;200301;Mezclas de residuos municipales;R13;Urbano;20220;KG
2008;A20864856;UROLA ERDIKO LAPATX ZABORTEGIA;2000002331;LAPATX ZABORTEGIA;Azpeitia;200301;Mezclas de residuos municipales;R13;Urbano;63890600;KG
2008;A20003570;MICHELIN ESPAÑA PORTUGAL;2000004416;MICHELIN ESPAÑA  PORTUGAL, S.A. - FABRICA DE LASARTE;Lasarte-Oria;200301;Mezclas de residuos municipales;-//D1//-//-//-//-//-;Urbano;106020;KG
2008;F20075909;MIRVAT;2000004926;Mirvat S. Coop. Ltda.;Eskoriatza;200301;Mezclas de residuos municipales;R13;Urbano;750;KG
2008;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;170407;Metales mezclados;-//D1//-//-//-//-//-;Urbano;82120;KG
